./arch/arc/kernel/kgdb.c, 4453, 760
./arch/arc/kernel/kprobes.c, 8349, 3930
./arch/arc/kernel/mcip.c, 6688, 2861
./arch/arc/kernel/module.c, 3195, 1207
./arch/arc/kernel/perf_event.c, 15101, 2414
./arch/arc/kernel/process.c, 4036, 3978
./arch/arc/kernel/ptrace.c, 8129, 490
./arch/arc/kernel/reset.c, 401, 341
./arch/arc/kernel/setup.c, 14785, 3131
./arch/arc/kernel/signal.c, 6300, 5116
./arch/arc/kernel/smp.c, 6340, 3694
./arch/arc/kernel/stacktrace.c, 3669, 3446
./arch/arc/kernel/sys.c, 348, 0
./arch/arc/kernel/traps.c, 2602, 1766
./arch/arc/kernel/troubleshoot.c, 5321, 1434
./arch/arc/kernel/unaligned.c, 5734, 797
./arch/arc/kernel/unwind.c, 30636, 2609
./arch/arc/mm/cache.c, 21704, 15832
./arch/arc/mm/dma.c, 2136, 2400
./arch/arc/mm/extable.c, 834, 305
./arch/arc/mm/fault.c, 3585, 2102
./arch/arc/mm/highmem.c, 2132, 2117
./arch/arc/mm/init.c, 3720, 2273
./arch/arc/mm/ioremap.c, 1714, 960
./arch/arc/mm/mmap.c, 1302, 644
./arch/arc/mm/tlb.c, 14779, 14420
./arch/arc/oprofile/common.c, 224, 490
./arch/arc/plat-axs10x/axs10x.c, 7528, 4277
./arch/arc/plat-eznps/ctop.c, 476, 664
./arch/arc/plat-eznps/mtm.c, 3132, 1278
./arch/arc/plat-eznps/platform.c, 1844, 989
./arch/arc/plat-eznps/smp.c, 2613, 815
./arch/arc/plat-hsdk/platform.c, 1900, 2686
./arch/arc/plat-sim/platform.c, 338, 652
./arch/arc/plat-tb10x/tb10x.c, 206, 805
./arch/arm/boot/compressed/atags_to_fdt.c, 4522, 938
./arch/arm/boot/compressed/decompress.c, 1477, 152
./arch/arm/boot/compressed/misc.c, 2549, 656
./arch/arm/boot/compressed/string.c, 2048, 97
./arch/arm/common/bL_switcher.c, 15942, 5099
./arch/arm/common/bL_switcher_dummy_if.c, 1077, 452
./arch/arm/common/dmabounce.c, 13522, 2021
./arch/arm/common/firmware.c, 205, 318
./arch/arm/common/it8152.c, 8099, 1289
